word	category	package	path	note
comm	(c) already present	coreutils	/usr/bin/comm	command and plausible first word of an English request
command	(c) already present	bash builtin	/usr/bin/comm	command and plausible first word of an English request
compare	(c) already present	imagemagick-6.q16	/usr/bin/compare	command and plausible first word of an English request
complete	(b) left out	bash builtin	/usr/bin/compare	shell grammar word or non-verb builtin; never the start of a typed request
composite	(c) already present	imagemagick-6.q16	/usr/bin/composite	command and plausible first word of an English request
conjure	(b) left out	imagemagick-6.q16	/usr/bin/conjure	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
continue	(c) already present	bash builtin	/usr/bin/conjure	command and plausible first word of an English request
convert	(c) already present	imagemagick-6.q16	/usr/bin/convert	command and plausible first word of an English request
curl	(b) left out	curl	/usr/bin/curl	language, toolchain or package-manager name
cut	(c) already present	coreutils	/usr/bin/cut	command and plausible first word of an English request
dash	(b) left out	dash	/usr/bin/dash	language, toolchain or package-manager name
date	(c) already present	coreutils	/usr/bin/date	command and plausible first word of an English request
dd	(b) left out	coreutils	/usr/bin/dd	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
declare	(b) left out	bash builtin	/usr/bin/dd	shell grammar word or non-verb builtin; never the start of a typed request
defaults	(b) left out	gnustep-base-runtime	/usr/bin/defaults	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
designer	(b) left out	qtchooser	/usr/bin/designer	application name; nobody opens an English request with it
diff	(c) already present	diffutils	/usr/bin/diff	command and plausible first word of an English request
dig	(c) already present	bind9-dnsutils	/usr/bin/dig	command and plausible first word of an English request
disown	(b) left out	bash builtin	/usr/bin/dig	shell grammar word or non-verb builtin; never the start of a typed request
display	(c) already present	imagemagick-6.q16	/usr/bin/display	command and plausible first word of an English request
do	(c) already present	bash keyword	/usr/bin/display	command and plausible first word of an English request
dolphin	(b) left out	dolphin	/usr/bin/dolphin	application name; nobody opens an English request with it
done	(c) already present	bash keyword	/usr/bin/dolphin	command and plausible first word of an English request
dot	(b) left out	libgvc6	/usr/bin/dot	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
dotty	(b) left out	graphviz	/usr/bin/dotty	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
dragon	(b) left out	dragonplayer	/usr/bin/dragon	application name; nobody opens an English request with it
duplicity	(b) left out	duplicity	/usr/bin/duplicity	system or service program whose name is not an everyday verb
ebb	(b) left out	texlive-binaries	/usr/bin/ebb	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
echo	(c) already present	bash builtin	/usr/bin/ebb	command and plausible first word of an English request
ed	(b) left out	(no package)	/usr/bin/ed	editor or pager invoked by name, not an English verb in a request
editor	(b) left out	nano	/usr/bin/editor	editor or pager invoked by name, not an English verb in a request
eject	(a) ADDED	eject	/usr/bin/eject	command and plausible first word of an English request
else	(b) left out	bash keyword	/usr/bin/eject	shell grammar word or non-verb builtin; never the start of a typed request
enable	(c) already present	bash builtin	/usr/bin/eject	command and plausible first word of an English request
evince	(b) left out	evince	/usr/bin/evince	application name; nobody opens an English request with it
ex	(b) left out	vim	/usr/bin/ex	editor or pager invoked by name, not an English verb in a request
exec	(b) left out	bash builtin	/usr/bin/ex	shell grammar word or non-verb builtin; never the start of a typed request
exit	(c) already present	bash builtin	/usr/bin/ex	command and plausible first word of an English request
expand	(c) already present	coreutils	/usr/bin/expand	command and plausible first word of an English request
expiry	(b) left out	passwd	/usr/bin/expiry	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
export	(c) already present	bash builtin	/usr/bin/expiry	command and plausible first word of an English request
factor	(c) already present	coreutils	/usr/bin/factor	command and plausible first word of an English request
false	(c) already present	bash builtin	/usr/bin/factor	command and plausible first word of an English request
file	(c) already present	file	/usr/bin/file	command and plausible first word of an English request
find	(c) already present	findutils	/usr/bin/find	command and plausible first word of an English request
flex	(b) left out	flex	/usr/bin/flex	language, toolchain or package-manager name
flock	(b) left out	util-linux	/usr/bin/flock	system or service program whose name is not an everyday verb
fold	(c) already present	coreutils	/usr/bin/fold	command and plausible first word of an English request
for	(b) left out	bash keyword	/usr/bin/fold	shell grammar word or non-verb builtin; never the start of a typed request
free	(c) already present	procps	/usr/bin/free	command and plausible first word of an English request
from	(a) ADDED	mailutils	/usr/bin/from	command and plausible first word of an English request
ftp	(b) left out	tnftp	/usr/bin/ftp	system or service program whose name is not an everyday verb
function	(b) left out	bash keyword	/usr/bin/ftp	shell grammar word or non-verb builtin; never the start of a typed request
gawk	(b) left out	gawk	/usr/bin/gawk	language, toolchain or package-manager name
gem	(b) left out	ruby-rubygems	/usr/bin/gem	language, toolchain or package-manager name
gold	(b) left out	binutils-aarch64-linux-gnu	/usr/bin/gold	language, toolchain or package-manager name
grep	(c) already present	grep	/usr/bin/grep	command and plausible first word of an English request
grog	(b) left out	groff-base	/usr/bin/grog	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
groups	(c) already present	coreutils	/usr/bin/groups	command and plausible first word of an English request
gs	(b) left out	ghostscript	/usr/bin/gs	language, toolchain or package-manager name
halt	(c) already present	systemd	/usr/sbin/halt	command and plausible first word of an English request
hash	(c) already present	bash builtin	/usr/sbin/halt	command and plausible first word of an English request
head	(c) already present	coreutils	/usr/bin/head	command and plausible first word of an English request
help	(c) already present	bash builtin	/usr/bin/head	command and plausible first word of an English request
history	(c) already present	bash builtin	/usr/bin/head	command and plausible first word of an English request
host	(c) already present	bind9-host	/usr/bin/host	command and plausible first word of an English request
ht	(b) left out	texlive-plain-generic	/usr/bin/ht	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
id	(c) already present	coreutils	/usr/bin/id	command and plausible first word of an English request
identify	(c) already present	imagemagick-6.q16	/usr/bin/identify	command and plausible first word of an English request
if	(b) left out	bash keyword	/usr/bin/identify	shell grammar word or non-verb builtin; never the start of a typed request
import	(c) already present	imagemagick-6.q16	/usr/bin/import	command and plausible first word of an English request
in	(b) left out	bash keyword	/usr/bin/import	shell grammar word or non-verb builtin; never the start of a typed request
info	(c) already present	info	/usr/bin/info	command and plausible first word of an English request
install	(c) already present	coreutils	/usr/bin/install	command and plausible first word of an English request
jar	(b) left out	openjdk-17-jdk-headless	/usr/bin/jar	language, toolchain or package-manager name
jobs	(c) already present	bash builtin	/usr/bin/jar	command and plausible first word of an English request
join	(c) already present	coreutils	/usr/bin/join	command and plausible first word of an English request
kill	(c) already present	bash builtin	/usr/bin/join	command and plausible first word of an English request
last	(c) already present	util-linux	/usr/bin/last	command and plausible first word of an English request
latex	(b) left out	texlive-binaries	/usr/bin/latex	language, toolchain or package-manager name
lefty	(b) left out	graphviz	/usr/bin/lefty	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
less	(c) already present	less	/usr/bin/less	command and plausible first word of an English request
let	(c) already present	bash builtin	/usr/bin/less	command and plausible first word of an English request
linguist	(b) left out	qtchooser	/usr/bin/linguist	application name; nobody opens an English request with it
link	(c) already present	coreutils	/usr/bin/link	command and plausible first word of an English request
local	(c) already present	bash builtin	/usr/bin/link	command and plausible first word of an English request
locale	(b) left out	libc-bin	/usr/bin/locale	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
logger	(c) already present	bsdutils	/usr/bin/logger	command and plausible first word of an English request
login	(c) already present	login	/usr/bin/login	command and plausible first word of an English request
logout	(c) already present	bash builtin	/usr/bin/login	command and plausible first word of an English request
look	(c) already present	bsdextrautils	/usr/bin/look	command and plausible first word of an English request
ls	(b) left out	coreutils	/usr/bin/ls	too destructive to guess, and never phrased as a sentence-initial verb here
mail	(c) already present	mailutils	/usr/bin/mail	command and plausible first word of an English request
make	(c) already present	make	/usr/bin/make	command and plausible first word of an English request
man	(c) already present	man-db	/usr/bin/man	command and plausible first word of an English request
manifest	(b) left out	byobu	/usr/bin/manifest	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
messages	(b) left out	mailutils	/usr/bin/messages	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
mingle	(b) left out	graphviz	/usr/bin/mingle	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
montage	(c) already present	imagemagick-6.q16	/usr/bin/montage	command and plausible first word of an English request
more	(c) already present	util-linux	/usr/bin/more	command and plausible first word of an English request
mount	(c) already present	mount	/usr/bin/mount	command and plausible first word of an English request
nautilus	(b) left out	nautilus	/usr/bin/nautilus	application name; nobody opens an English request with it
net	(b) left out	samba-common-bin	/usr/bin/net	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
nice	(c) already present	coreutils	/usr/bin/nice	command and plausible first word of an English request
ninja	(b) left out	ninja-build	/usr/bin/ninja	language, toolchain or package-manager name
node	(b) left out	(no package)	/run/user/1000/fnm_multishells/982649_1789643557426/bin/node	language, toolchain or package-manager name
open	(c) already present	xdg-utils	/usr/bin/open	command and plausible first word of an English request
pager	(b) left out	less	/usr/bin/pager	editor or pager invoked by name, not an English verb in a request
parted	(b) left out	parted	/usr/sbin/parted	system or service program whose name is not an everyday verb
paste	(c) already present	coreutils	/usr/bin/paste	command and plausible first word of an English request
patch	(c) already present	patch	/usr/bin/patch	command and plausible first word of an English request
patchwork	(b) left out	libgvc6	/usr/bin/patchwork	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
ping	(c) already present	iputils-ping	/usr/bin/ping	command and plausible first word of an English request
pinky	(c) already present	coreutils	/usr/bin/pinky	command and plausible first word of an English request
pip	(b) left out	python3-pip	/usr/bin/pip	language, toolchain or package-manager name
pl	(b) left out	gnustep-base-runtime	/usr/bin/pl	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
pollinate	(b) left out	pollinate	/usr/bin/pollinate	system or service program whose name is not an everyday verb
pro	(b) left out	ubuntu-pro-client	/usr/bin/pro	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
profiles	(b) left out	samba	/usr/bin/profiles	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
prove	(a) ADDED	perl	/usr/bin/prove	command and plausible first word of an English request
proxy	(b) left out	libproxy-tools	/usr/bin/proxy	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
prune	(a) ADDED	graphviz	/usr/bin/prune	command and plausible first word of an English request
python	(b) left out	python3.12-minimal	/usr/bin/python	language, toolchain or package-manager name
quota	(b) left out	quota	/usr/bin/quota	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
rake	(b) left out	rake	/usr/bin/rake	language, toolchain or package-manager name
read	(c) already present	bash builtin	/usr/bin/rake	command and plausible first word of an English request
red	(b) left out	(no package)	/usr/bin/red	editor or pager invoked by name, not an English verb in a request
reset	(c) already present	ncurses-bin	/usr/bin/reset	command and plausible first word of an English request
return	(c) already present	bash builtin	/usr/bin/reset	command and plausible first word of an English request
rev	(c) already present	util-linux	/usr/bin/rev	command and plausible first word of an English request
rm	(b) left out	coreutils	/usr/bin/rm	too destructive to guess, and never phrased as a sentence-initial verb here
route	(a) ADDED	(no package)	/usr/sbin/route	command and plausible first word of an English request
ruby	(b) left out	ruby3.2	/usr/bin/ruby	language, toolchain or package-manager name
samba	(b) left out	samba	/usr/sbin/samba	system or service program whose name is not an everyday verb
scalar	(b) left out	git	/usr/bin/scalar	language, toolchain or package-manager name
screen	(a) ADDED	screen	/usr/bin/screen	command and plausible first word of an English request
script	(c) already present	bsdutils	/usr/bin/script	command and plausible first word of an English request
select	(c) already present	bash keyword	/usr/bin/script	command and plausible first word of an English request
service	(b) left out	init-system-helpers	/usr/sbin/service	system or service program whose name is not an everyday verb
set	(c) already present	bash builtin	/usr/sbin/service	command and plausible first word of an English request
sh	(b) left out	dash	/usr/bin/sh	language, toolchain or package-manager name
shift	(c) already present	bash builtin	/usr/bin/sh	command and plausible first word of an English request
shred	(a) ADDED	coreutils	/usr/bin/shred	command and plausible first word of an English request
shutdown	(c) already present	systemd	/usr/sbin/shutdown	command and plausible first word of an English request
sieve	(b) left out	mailutils	/usr/bin/sieve	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
size	(b) left out	binutils-aarch64-linux-gnu	/usr/bin/size	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
skill	(b) left out	procps	/usr/bin/skill	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
sleep	(c) already present	coreutils	/usr/bin/sleep	command and plausible first word of an English request
snap	(b) left out	snapd	/usr/bin/snap	language, toolchain or package-manager name
sort	(c) already present	coreutils	/usr/bin/sort	command and plausible first word of an English request
sos	(b) left out	sosreport	/usr/bin/sos	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
source	(c) already present	bash builtin	/usr/bin/sos	command and plausible first word of an English request
spectacle	(b) left out	kde-spectacle	/usr/bin/spectacle	application name; nobody opens an English request with it
split	(c) already present	coreutils	/usr/bin/split	command and plausible first word of an English request
stat	(c) already present	coreutils	/usr/bin/stat	command and plausible first word of an English request
stream	(c) already present	imagemagick-6.q16	/usr/bin/stream	command and plausible first word of an English request
strings	(b) left out	binutils-aarch64-linux-gnu	/usr/bin/strings	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
strip	(a) ADDED	binutils-aarch64-linux-gnu	/usr/bin/strip	command and plausible first word of an English request
sum	(c) already present	coreutils	/usr/bin/sum	command and plausible first word of an English request
sushi	(b) left out	gnome-sushi	/usr/bin/sushi	application name; nobody opens an English request with it
suspend	(a) ADDED	bash builtin	/usr/bin/sushi	command and plausible first word of an English request
sweeper	(b) left out	sweeper	/usr/bin/sweeper	application name; nobody opens an English request with it
swig	(b) left out	swig	/usr/bin/swig	language, toolchain or package-manager name
sync	(c) already present	coreutils	/usr/bin/sync	command and plausible first word of an English request
tabs	(b) left out	ncurses-bin	/usr/bin/tabs	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
tail	(c) already present	coreutils	/usr/bin/tail	command and plausible first word of an English request
tangle	(b) left out	texlive-binaries	/usr/bin/tangle	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
tar	(a) ADDED	tar	/usr/bin/tar	command and plausible first word of an English request
tee	(c) already present	coreutils	/usr/bin/tee	command and plausible first word of an English request
telnet	(b) left out	inetutils-telnet	/usr/bin/telnet	system or service program whose name is not an everyday verb
test	(c) already present	bash builtin	/usr/bin/telnet	command and plausible first word of an English request
then	(b) left out	bash keyword	/usr/bin/telnet	shell grammar word or non-verb builtin; never the start of a typed request
tic	(b) left out	ncurses-bin	/usr/bin/tic	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
tie	(b) left out	texlive-binaries	/usr/bin/tie	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
time	(c) already present	bash keyword	/usr/bin/tie	command and plausible first word of an English request
times	(b) left out	bash builtin	/usr/bin/tie	shell grammar word or non-verb builtin; never the start of a typed request
toe	(b) left out	ncurses-bin	/usr/bin/toe	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
top	(c) already present	procps	/usr/bin/top	command and plausible first word of an English request
totem	(b) left out	totem	/usr/bin/totem	application name; nobody opens an English request with it
touch	(c) already present	coreutils	/usr/bin/touch	command and plausible first word of an English request
transform	(a) ADDED	libgts-bin	/usr/bin/transform	command and plausible first word of an English request
trap	(c) already present	bash builtin	/usr/bin/transform	command and plausible first word of an English request
true	(c) already present	bash builtin	/usr/bin/transform	command and plausible first word of an English request
truncate	(a) ADDED	coreutils	/usr/bin/truncate	command and plausible first word of an English request
trust	(c) already present	p11-kit	/usr/bin/trust	command and plausible first word of an English request
twill	(b) left out	texlive-binaries	/usr/bin/twill	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
type	(c) already present	bash builtin	/usr/bin/twill	command and plausible first word of an English request
typeset	(b) left out	bash builtin	/usr/bin/twill	shell grammar word or non-verb builtin; never the start of a typed request
unset	(c) already present	bash builtin	/usr/bin/twill	command and plausible first word of an English request
until	(b) left out	bash keyword	/usr/bin/twill	shell grammar word or non-verb builtin; never the start of a typed request
unzip	(a) ADDED	unzip	/usr/bin/unzip	command and plausible first word of an English request
users	(c) already present	coreutils	/usr/bin/users	command and plausible first word of an English request
vi	(b) left out	vim	/usr/bin/vi	editor or pager invoked by name, not an English verb in a request
view	(c) already present	vim	/usr/bin/view	command and plausible first word of an English request
vim	(b) left out	vim	/usr/bin/vim	editor or pager invoked by name, not an English verb in a request
w	(b) left out	procps	/usr/bin/w	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
wait	(c) already present	bash builtin	/usr/bin/w	command and plausible first word of an English request
wall	(c) already present	bsdutils	/usr/bin/wall	command and plausible first word of an English request
watch	(c) already present	procps	/usr/bin/watch	command and plausible first word of an English request
weave	(b) left out	texlive-binaries	/usr/bin/weave	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
which	(c) already present	debianutils	/usr/bin/which	command and plausible first word of an English request
while	(b) left out	bash keyword	/usr/bin/which	shell grammar word or non-verb builtin; never the start of a typed request
who	(c) already present	coreutils	/usr/bin/who	command and plausible first word of an English request
wish	(b) left out	tk8.6	/usr/bin/wish	application name; nobody opens an English request with it
write	(c) already present	bsdextrautils	/usr/bin/write	command and plausible first word of an English request
xterm	(b) left out	xterm	/usr/bin/xterm	application name; nobody opens an English request with it
yelp	(b) left out	yelp	/usr/bin/yelp	application name; nobody opens an English request with it
yes	(c) already present	coreutils	/usr/bin/yes	command and plausible first word of an English request
zip	(a) ADDED	zip	/usr/bin/zip	command and plausible first word of an English request
